S.No,Service Name,Code,Dept,SLA (Days),CAN Required?,Validity,File Rules,Target Demographic,Govt Fee,e-Sevai Fee,Online & Offline Access Sources,Tracker URL,First Appellate Authority,Workflow
1,Community Certificate,REV-101,Revenue,15 Days,Yes,Lifetime,PDF < 200KB,Resident belonging to BC/MBC/SC/ST,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT → Tahsildar
2,Nativity Certificate,REV-102,Revenue,15 Days,Yes,Lifetime,PDF < 200KB,5+ Yrs TN Continuous Residents,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
3,Income Certificate,REV-103,Revenue,7 Days,Yes,1 Year,PDF < 200KB,TN Residents needing Income Proof,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
4,First Graduate Certificate,REV-104,Revenue,15 Days,Yes,One-time,PDF < 200KB,First Degree Student in Family,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT → Tahsildar
5,Deserted Woman Cert,REV-105,Revenue,15 Days,Yes,Permanent,PDF < 200KB,Women deserted 5+ Years,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT → Tahsildar
6,Agri Income Certificate,REV-106,Revenue,15 Days,Yes,1 Year,PDF < 200KB,Landowners earning from farming,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
7,Family Migration Cert,REV-107,Revenue,15 Days,Yes,One-time,PDF < 200KB,Families migrating permanently,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
8,Unemployment Certificate,REV-108,Revenue,15 Days,Yes,1 Year,PDF < 200KB,Educated unemployed youth,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
9,Widow Certificate,REV-109,Revenue,15 Days,Yes,Lifetime,PDF < 200KB,Resident Widows,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
10,Loss of Edu Records Cert,REV-111,Revenue,15 Days,Yes,One-time,PDF < 200KB,Victims of lost/damaged certificates,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT → Tahsildar
11,Inter-Caste Marriage Cert,REV-113,Revenue,15 Days,Yes,Lifetime,PDF < 200KB,SC/ST & Non-SC/ST Married Couples,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
12,Legal Heir Certificate,REV-114,Revenue,30 Days,Yes,Lifetime,PDF < 200KB,Class-I/II Legal Heirs of Deceased,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → HQDT → Tahsildar
13,OBC Non-Creamy Layer,REV-115,Revenue,15 Days,Yes,1 Year,PDF < 200KB,OBC Candidates (<₹8L Income),₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → HQDT → Tahsildar
14,Residence Certificate,REV-116,Revenue,7 Days,Yes,1 Year,PDF < 200KB,Present Residents in District,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
